Fiyat,Emlak Tipi,m2 (Brüt),m2 (Net),Oda Sayısı,Bina Yaşı,Bulunduğu Kat,Kat Sayısı,Isıtma,Banyo Sayısı,Balkon Sayısı,Eşya Durumu,Kullanım Durumu,Site İçerisinde Mi,İlçe,Mahalle
25.000 ,2,72,60,0,3,2,8,5,0,3,0,2,0,10,8
45.000 ,3,300,240,5,5,12,2,1,1,3,1,2,3,12,19
12.500 ,0,80,60,0,6,5,3,1,0,2,0,2,0,6,18
24.900 ,0,110,95,1,2,5,4,1,0,2,0,2,0,14,0
22.000 ,0,108,90,1,11,6,9,4,0,3,3,0,1,5,5
37.000 ,0,135,110,2,7,6,2,1,1,2,1,2,0,2,22
8.000 ,0,110,100,1,2,6,5,1,0,2,4,0,2,1,7
20.000 ,0,123,60,1,1,5,6,4,0,2,0,2,0,11,2
14.500 ,0,80,70,1,5,5,3,1,0,2,4,0,2,6,1
10.000 ,0,150,121,2,1,5,7,1,0,2,4,0,1,7,15
6.000 ,0,84,72,0,7,4,6,4,0,2,4,0,1,7,13
21.000 ,0,102,66,1,1,3,11,4,0,3,4,0,1,4,6
10.500 ,0,75,70,1,8,4,2,1,0,2,0,1,0,9,17
8.250 ,0,78,60,1,5,7,4,1,0,2,0,2,0,11,23
23.000 ,0,75,70,1,0,0,8,5,0,2,3,0,1,10,25
66.000 ,3,335,300,5,5,0,1,3,4,2,2,2,0,5,5
10.000 ,0,60,50,0,11,5,6,3,0,2,4,0,1,10,12
19.000 ,0,74,50,0,1,0,4,1,0,1,3,0,1,1,3
38.000 ,3,318,255,4,5,12,2,1,3,2,2,2,0,12,19
15.500 ,0,115,100,1,5,6,2,1,0,2,3,4,2,3,24
28.000 ,0,100,82,1,9,10,10,1,1,2,4,3,1,8,11
25.000 ,0,250,220,4,10,5,1,1,1,2,1,2,0,0,10
10.000 ,0,85,75,1,2,9,7,1,0,3,0,2,0,13,21
55.000 ,3,284,146,3,7,12,0,1,2,2,4,0,1,5,4
50.000 ,0,180,160,2,8,5,4,1,1,3,1,1,0,14,16
32.000 ,0,140,120,1,8,6,3,1,0,3,0,1,0,14,9
9.000 ,0,140,130,2,6,0,3,1,0,2,4,0,2,11,7
5.000 ,0,65,55,0,8,11,2,2,0,3,4,0,2,10,20
13.000 ,2,85,80,0,7,8,7,4,0,3,0,1,0,11,26
26.000 ,1,Daire,90,6,4,1,0,0,5,0,5,1,0,14,14
25.000 ,2,72,60,0,3,2,8,5,0,3,0,2,0,10,8
45.000 ,3,300,240,5,5,12,2,1,1,3,1,2,3,12,19
12.500 ,0,80,60,0,6,5,3,1,0,2,0,2,0,6,18
24.900 ,0,110,95,1,2,5,4,1,0,2,0,2,0,14,0
22.000 ,0,108,90,1,11,6,9,4,0,3,3,0,1,5,5
37.000 ,0,135,110,2,7,6,2,1,1,2,1,2,0,2,22
8.000 ,0,110,100,1,2,6,5,1,0,2,4,0,2,1,7
20.000 ,0,123,60,1,1,5,6,4,0,2,0,2,0,11,2
14.500 ,0,80,70,1,5,5,3,1,0,2,4,0,2,6,1
10.000 ,0,150,121,2,1,5,7,1,0,2,4,0,1,7,15
6.000 ,0,84,72,0,7,4,6,4,0,2,4,0,1,7,13
21.000 ,0,102,66,1,1,3,11,4,0,3,4,0,1,4,6
10.500 ,0,75,70,1,8,4,2,1,0,2,0,1,0,9,17
8.250 ,0,78,60,1,5,7,4,1,0,2,0,2,0,11,23
23.000 ,0,75,70,1,0,0,8,5,0,2,3,0,1,10,25
66.000 ,3,335,300,5,5,0,1,3,4,2,2,2,0,5,5
10.000 ,0,60,50,0,11,5,6,3,0,2,4,0,1,10,12
19.000 ,0,74,50,0,1,0,4,1,0,1,3,0,1,1,3
38.000 ,3,318,255,4,5,12,2,1,3,2,2,2,0,12,19
15.500 ,0,115,100,1,5,6,2,1,0,2,3,4,2,3,24
28.000 ,0,100,82,1,9,10,10,1,1,2,4,3,1,8,11
25.000 ,0,250,220,4,10,5,1,1,1,2,1,2,0,0,10
10.000 ,0,85,75,1,2,9,7,1,0,3,0,2,0,13,21
55.000 ,3,284,146,3,7,12,0,1,2,2,4,0,1,5,4
50.000 ,0,180,160,2,8,5,4,1,1,3,1,1,0,14,16
32.000 ,0,140,120,1,8,6,3,1,0,3,0,1,0,14,9
9.000 ,0,140,130,2,6,0,3,1,0,2,4,0,2,11,7
5.000 ,0,65,55,0,8,11,2,2,0,3,4,0,2,10,20
13.000 ,2,85,80,0,7,8,7,4,0,3,0,1,0,11,26
26.000 ,1,Daire,90,6,4,1,0,0,5,0,5,1,0,14,14
25.000 ,2,72,60,0,3,2,8,5,0,3,0,2,0,10,8
45.000 ,3,300,240,5,5,12,2,1,1,3,1,2,3,12,19
12.500 ,0,80,60,0,6,5,3,1,0,2,0,2,0,6,18
24.900 ,0,110,95,1,2,5,4,1,0,2,0,2,0,14,0
22.000 ,0,108,90,1,11,6,9,4,0,3,3,0,1,5,5
37.000 ,0,135,110,2,7,6,2,1,1,2,1,2,0,2,22
8.000 ,0,110,100,1,2,6,5,1,0,2,4,0,2,1,7
20.000 ,0,123,60,1,1,5,6,4,0,2,0,2,0,11,2
14.500 ,0,80,70,1,5,5,3,1,0,2,4,0,2,6,1
10.000 ,0,150,121,2,1,5,7,1,0,2,4,0,1,7,15
6.000 ,0,84,72,0,7,4,6,4,0,2,4,0,1,7,13
21.000 ,0,102,66,1,1,3,11,4,0,3,4,0,1,4,6
10.500 ,0,75,70,1,8,4,2,1,0,2,0,1,0,9,17
8.250 ,0,78,60,1,5,7,4,1,0,2,0,2,0,11,23
23.000 ,0,75,70,1,0,0,8,5,0,2,3,0,1,10,25
66.000 ,3,335,300,5,5,0,1,3,4,2,2,2,0,5,5
10.000 ,0,60,50,0,11,5,6,3,0,2,4,0,1,10,12
19.000 ,0,74,50,0,1,0,4,1,0,1,3,0,1,1,3
38.000 ,3,318,255,4,5,12,2,1,3,2,2,2,0,12,19
15.500 ,0,115,100,1,5,6,2,1,0,2,3,4,2,3,24
28.000 ,0,100,82,1,9,10,10,1,1,2,4,3,1,8,11
25.000 ,0,250,220,4,10,5,1,1,1,2,1,2,0,0,10
10.000 ,0,85,75,1,2,9,7,1,0,3,0,2,0,13,21
55.000 ,3,284,146,3,7,12,0,1,2,2,4,0,1,5,4
50.000 ,0,180,160,2,8,5,4,1,1,3,1,1,0,14,16
32.000 ,0,140,120,1,8,6,3,1,0,3,0,1,0,14,9
9.000 ,0,140,130,2,6,0,3,1,0,2,4,0,2,11,7
5.000 ,0,65,55,0,8,11,2,2,0,3,4,0,2,10,20
13.000 ,2,85,80,0,7,8,7,4,0,3,0,1,0,11,26
26.000 ,1,Daire,90,6,4,1,0,0,5,0,5,1,0,14,14
25.000 ,2,72,60,0,3,2,8,5,0,3,0,2,0,10,8
45.000 ,3,300,240,5,5,12,2,1,1,3,1,2,3,12,19
12.500 ,0,80,60,0,6,5,3,1,0,2,0,2,0,6,18
24.900 ,0,110,95,1,2,5,4,1,0,2,0,2,0,14,0
22.000 ,0,108,90,1,11,6,9,4,0,3,3,0,1,5,5
37.000 ,0,135,110,2,7,6,2,1,1,2,1,2,0,2,22
8.000 ,0,110,100,1,2,6,5,1,0,2,4,0,2,1,7
20.000 ,0,123,60,1,1,5,6,4,0,2,0,2,0,11,2
14.500 ,0,80,70,1,5,5,3,1,0,2,4,0,2,6,1
10.000 ,0,150,121,2,1,5,7,1,0,2,4,0,1,7,15
6.000 ,0,84,72,0,7,4,6,4,0,2,4,0,1,7,13
21.000 ,0,102,66,1,1,3,11,4,0,3,4,0,1,4,6
10.500 ,0,75,70,1,8,4,2,1,0,2,0,1,0,9,17
8.250 ,0,78,60,1,5,7,4,1,0,2,0,2,0,11,23
23.000 ,0,75,70,1,0,0,8,5,0,2,3,0,1,10,25
66.000 ,3,335,300,5,5,0,1,3,4,2,2,2,0,5,5
10.000 ,0,60,50,0,11,5,6,3,0,2,4,0,1,10,12
19.000 ,0,74,50,0,1,0,4,1,0,1,3,0,1,1,3
38.000 ,3,318,255,4,5,12,2,1,3,2,2,2,0,12,19
15.500 ,0,115,100,1,5,6,2,1,0,2,3,4,2,3,24
28.000 ,0,100,82,1,9,10,10,1,1,2,4,3,1,8,11
25.000 ,0,250,220,4,10,5,1,1,1,2,1,2,0,0,10
10.000 ,0,85,75,1,2,9,7,1,0,3,0,2,0,13,21
55.000 ,3,284,146,3,7,12,0,1,2,2,4,0,1,5,4
50.000 ,0,180,160,2,8,5,4,1,1,3,1,1,0,14,16
32.000 ,0,140,120,1,8,6,3,1,0,3,0,1,0,14,9
9.000 ,0,140,130,2,6,0,3,1,0,2,4,0,2,11,7
5.000 ,0,65,55,0,8,11,2,2,0,3,4,0,2,10,20
13.000 ,2,85,80,0,7,8,7,4,0,3,0,1,0,11,26
26.000 ,1,Daire,90,6,4,1,0,0,5,0,5,1,0,14,14
25.000 ,2,72,60,0,3,2,8,5,0,3,0,2,0,10,8
45.000 ,3,300,240,5,5,12,2,1,1,3,1,2,3,12,19
12.500 ,0,80,60,0,6,5,3,1,0,2,0,2,0,6,18
24.900 ,0,110,95,1,2,5,4,1,0,2,0,2,0,14,0
22.000 ,0,108,90,1,11,6,9,4,0,3,3,0,1,5,5
37.000 ,0,135,110,2,7,6,2,1,1,2,1,2,0,2,22
8.000 ,0,110,100,1,2,6,5,1,0,2,4,0,2,1,7
20.000 ,0,123,60,1,1,5,6,4,0,2,0,2,0,11,2
14.500 ,0,80,70,1,5,5,3,1,0,2,4,0,2,6,1
10.000 ,0,150,121,2,1,5,7,1,0,2,4,0,1,7,15
6.000 ,0,84,72,0,7,4,6,4,0,2,4,0,1,7,13
21.000 ,0,102,66,1,1,3,11,4,0,3,4,0,1,4,6
10.500 ,0,75,70,1,8,4,2,1,0,2,0,1,0,9,17
8.250 ,0,78,60,1,5,7,4,1,0,2,0,2,0,11,23
23.000 ,0,75,70,1,0,0,8,5,0,2,3,0,1,10,25
66.000 ,3,335,300,5,5,0,1,3,4,2,2,2,0,5,5
10.000 ,0,60,50,0,11,5,6,3,0,2,4,0,1,10,12
19.000 ,0,74,50,0,1,0,4,1,0,1,3,0,1,1,3
38.000 ,3,318,255,4,5,12,2,1,3,2,2,2,0,12,19
15.500 ,0,115,100,1,5,6,2,1,0,2,3,4,2,3,24
28.000 ,0,100,82,1,9,10,10,1,1,2,4,3,1,8,11
25.000 ,0,250,220,4,10,5,1,1,1,2,1,2,0,0,10
10.000 ,0,85,75,1,2,9,7,1,0,3,0,2,0,13,21
55.000 ,3,284,146,3,7,12,0,1,2,2,4,0,1,5,4
50.000 ,0,180,160,2,8,5,4,1,1,3,1,1,0,14,16
32.000 ,0,140,120,1,8,6,3,1,0,3,0,1,0,14,9
9.000 ,0,140,130,2,6,0,3,1,0,2,4,0,2,11,7
5.000 ,0,65,55,0,8,11,2,2,0,3,4,0,2,10,20
13.000 ,2,85,80,0,7,8,7,4,0,3,0,1,0,11,26
26.000 ,1,Daire,90,6,4,1,0,0,5,0,5,1,0,14,14
25.000 ,2,72,60,0,3,2,8,5,0,3,0,2,0,10,8
45.000 ,3,300,240,5,5,12,2,1,1,3,1,2,3,12,19
12.500 ,0,80,60,0,6,5,3,1,0,2,0,2,0,6,18
24.900 ,0,110,95,1,2,5,4,1,0,2,0,2,0,14,0
22.000 ,0,108,90,1,11,6,9,4,0,3,3,0,1,5,5
37.000 ,0,135,110,2,7,6,2,1,1,2,1,2,0,2,22
8.000 ,0,110,100,1,2,6,5,1,0,2,4,0,2,1,7
20.000 ,0,123,60,1,1,5,6,4,0,2,0,2,0,11,2
14.500 ,0,80,70,1,5,5,3,1,0,2,4,0,2,6,1
10.000 ,0,150,121,2,1,5,7,1,0,2,4,0,1,7,15
6.000 ,0,84,72,0,7,4,6,4,0,2,4,0,1,7,13
21.000 ,0,102,66,1,1,3,11,4,0,3,4,0,1,4,6
10.500 ,0,75,70,1,8,4,2,1,0,2,0,1,0,9,17
8.250 ,0,78,60,1,5,7,4,1,0,2,0,2,0,11,23
23.000 ,0,75,70,1,0,0,8,5,0,2,3,0,1,10,25
66.000 ,3,335,300,5,5,0,1,3,4,2,2,2,0,5,5
10.000 ,0,60,50,0,11,5,6,3,0,2,4,0,1,10,12
19.000 ,0,74,50,0,1,0,4,1,0,1,3,0,1,1,3
38.000 ,3,318,255,4,5,12,2,1,3,2,2,2,0,12,19
15.500 ,0,115,100,1,5,6,2,1,0,2,3,4,2,3,24
28.000 ,0,100,82,1,9,10,10,1,1,2,4,3,1,8,11
25.000 ,0,250,220,4,10,5,1,1,1,2,1,2,0,0,10
10.000 ,0,85,75,1,2,9,7,1,0,3,0,2,0,13,21
55.000 ,3,284,146,3,7,12,0,1,2,2,4,0,1,5,4
50.000 ,0,180,160,2,8,5,4,1,1,3,1,1,0,14,16
32.000 ,0,140,120,1,8,6,3,1,0,3,0,1,0,14,9
9.000 ,0,140,130,2,6,0,3,1,0,2,4,0,2,11,7
5.000 ,0,65,55,0,8,11,2,2,0,3,4,0,2,10,20
13.000 ,2,85,80,0,7,8,7,4,0,3,0,1,0,11,26
26.000 ,1,Daire,90,6,4,1,0,0,5,0,5,1,0,14,14
25.000 ,2,72,60,0,3,2,8,5,0,3,0,2,0,10,8
45.000 ,3,300,240,5,5,12,2,1,1,3,1,2,3,12,19
12.500 ,0,80,60,0,6,5,3,1,0,2,0,2,0,6,18
24.900 ,0,110,95,1,2,5,4,1,0,2,0,2,0,14,0
22.000 ,0,108,90,1,11,6,9,4,0,3,3,0,1,5,5
37.000 ,0,135,110,2,7,6,2,1,1,2,1,2,0,2,22
8.000 ,0,110,100,1,2,6,5,1,0,2,4,0,2,1,7
20.000 ,0,123,60,1,1,5,6,4,0,2,0,2,0,11,2
14.500 ,0,80,70,1,5,5,3,1,0,2,4,0,2,6,1
10.000 ,0,150,121,2,1,5,7,1,0,2,4,0,1,7,15
6.000 ,0,84,72,0,7,4,6,4,0,2,4,0,1,7,13
21.000 ,0,102,66,1,1,3,11,4,0,3,4,0,1,4,6
10.500 ,0,75,70,1,8,4,2,1,0,2,0,1,0,9,17
8.250 ,0,78,60,1,5,7,4,1,0,2,0,2,0,11,23
23.000 ,0,75,70,1,0,0,8,5,0,2,3,0,1,10,25
66.000 ,3,335,300,5,5,0,1,3,4,2,2,2,0,5,5
10.000 ,0,60,50,0,11,5,6,3,0,2,4,0,1,10,12
19.000 ,0,74,50,0,1,0,4,1,0,1,3,0,1,1,3
38.000 ,3,318,255,4,5,12,2,1,3,2,2,2,0,12,19
15.500 ,0,115,100,1,5,6,2,1,0,2,3,4,2,3,24
28.000 ,0,100,82,1,9,10,10,1,1,2,4,3,1,8,11
25.000 ,0,250,220,4,10,5,1,1,1,2,1,2,0,0,10
10.000 ,0,85,75,1,2,9,7,1,0,3,0,2,0,13,21
55.000 ,3,284,146,3,7,12,0,1,2,2,4,0,1,5,4
50.000 ,0,180,160,2,8,5,4,1,1,3,1,1,0,14,16
32.000 ,0,140,120,1,8,6,3,1,0,3,0,1,0,14,9
9.000 ,0,140,130,2,6,0,3,1,0,2,4,0,2,11,7
5.000 ,0,65,55,0,8,11,2,2,0,3,4,0,2,10,20
13.000 ,2,85,80,0,7,8,7,4,0,3,0,1,0,11,26
26.000 ,1,Daire,90,6,4,1,0,0,5,0,5,1,0,14,14
25.000 ,2,72,60,0,3,2,8,5,0,3,0,2,0,10,8
45.000 ,3,300,240,5,5,12,2,1,1,3,1,2,3,12,19
12.500 ,0,80,60,0,6,5,3,1,0,2,0,2,0,6,18
24.900 ,0,110,95,1,2,5,4,1,0,2,0,2,0,14,0
22.000 ,0,108,90,1,11,6,9,4,0,3,3,0,1,5,5
37.000 ,0,135,110,2,7,6,2,1,1,2,1,2,0,2,22
8.000 ,0,110,100,1,2,6,5,1,0,2,4,0,2,1,7
20.000 ,0,123,60,1,1,5,6,4,0,2,0,2,0,11,2
14.500 ,0,80,70,1,5,5,3,1,0,2,4,0,2,6,1
10.000 ,0,150,121,2,1,5,7,1,0,2,4,0,1,7,15
6.000 ,0,84,72,0,7,4,6,4,0,2,4,0,1,7,13
21.000 ,0,102,66,1,1,3,11,4,0,3,4,0,1,4,6
10.500 ,0,75,70,1,8,4,2,1,0,2,0,1,0,9,17
8.250 ,0,78,60,1,5,7,4,1,0,2,0,2,0,11,23
23.000 ,0,75,70,1,0,0,8,5,0,2,3,0,1,10,25
66.000 ,3,335,300,5,5,0,1,3,4,2,2,2,0,5,5
10.000 ,0,60,50,0,11,5,6,3,0,2,4,0,1,10,12
19.000 ,0,74,50,0,1,0,4,1,0,1,3,0,1,1,3
38.000 ,3,318,255,4,5,12,2,1,3,2,2,2,0,12,19
15.500 ,0,115,100,1,5,6,2,1,0,2,3,4,2,3,24
28.000 ,0,100,82,1,9,10,10,1,1,2,4,3,1,8,11
25.000 ,0,250,220,4,10,5,1,1,1,2,1,2,0,0,10
10.000 ,0,85,75,1,2,9,7,1,0,3,0,2,0,13,21
55.000 ,3,284,146,3,7,12,0,1,2,2,4,0,1,5,4
50.000 ,0,180,160,2,8,5,4,1,1,3,1,1,0,14,16
32.000 ,0,140,120,1,8,6,3,1,0,3,0,1,0,14,9
9.000 ,0,140,130,2,6,0,3,1,0,2,4,0,2,11,7
5.000 ,0,65,55,0,8,11,2,2,0,3,4,0,2,10,20
13.000 ,2,85,80,0,7,8,7,4,0,3,0,1,0,11,26
26.000 ,1,Daire,90,6,4,1,0,0,5,0,5,1,0,14,14
25.000 ,2,72,60,0,3,2,8,5,0,3,0,2,0,10,8
45.000 ,3,300,240,5,5,12,2,1,1,3,1,2,3,12,19
12.500 ,0,80,60,0,6,5,3,1,0,2,0,2,0,6,18
24.900 ,0,110,95,1,2,5,4,1,0,2,0,2,0,14,0
22.000 ,0,108,90,1,11,6,9,4,0,3,3,0,1,5,5
37.000 ,0,135,110,2,7,6,2,1,1,2,1,2,0,2,22
8.000 ,0,110,100,1,2,6,5,1,0,2,4,0,2,1,7
20.000 ,0,123,60,1,1,5,6,4,0,2,0,2,0,11,2
14.500 ,0,80,70,1,5,5,3,1,0,2,4,0,2,6,1
10.000 ,0,150,121,2,1,5,7,1,0,2,4,0,1,7,15
6.000 ,0,84,72,0,7,4,6,4,0,2,4,0,1,7,13
21.000 ,0,102,66,1,1,3,11,4,0,3,4,0,1,4,6
10.500 ,0,75,70,1,8,4,2,1,0,2,0,1,0,9,17
8.250 ,0,78,60,1,5,7,4,1,0,2,0,2,0,11,23
23.000 ,0,75,70,1,0,0,8,5,0,2,3,0,1,10,25
66.000 ,3,335,300,5,5,0,1,3,4,2,2,2,0,5,5
10.000 ,0,60,50,0,11,5,6,3,0,2,4,0,1,10,12
19.000 ,0,74,50,0,1,0,4,1,0,1,3,0,1,1,3
38.000 ,3,318,255,4,5,12,2,1,3,2,2,2,0,12,19
15.500 ,0,115,100,1,5,6,2,1,0,2,3,4,2,3,24
28.000 ,0,100,82,1,9,10,10,1,1,2,4,3,1,8,11
25.000 ,0,250,220,4,10,5,1,1,1,2,1,2,0,0,10
10.000 ,0,85,75,1,2,9,7,1,0,3,0,2,0,13,21
55.000 ,3,284,146,3,7,12,0,1,2,2,4,0,1,5,4
50.000 ,0,180,160,2,8,5,4,1,1,3,1,1,0,14,16
32.000 ,0,140,120,1,8,6,3,1,0,3,0,1,0,14,9
9.000 ,0,140,130,2,6,0,3,1,0,2,4,0,2,11,7
5.000 ,0,65,55,0,8,11,2,2,0,3,4,0,2,10,20
13.000 ,2,85,80,0,7,8,7,4,0,3,0,1,0,11,26
26.000 ,1,Daire,90,6,4,1,0,0,5,0,5,1,0,14,14
25.000 ,2,72,60,0,3,2,8,5,0,3,0,2,0,10,8
45.000 ,3,300,240,5,5,12,2,1,1,3,1,2,3,12,19
12.500 ,0,80,60,0,6,5,3,1,0,2,0,2,0,6,18
24.900 ,0,110,95,1,2,5,4,1,0,2,0,2,0,14,0
22.000 ,0,108,90,1,11,6,9,4,0,3,3,0,1,5,5
37.000 ,0,135,110,2,7,6,2,1,1,2,1,2,0,2,22
8.000 ,0,110,100,1,2,6,5,1,0,2,4,0,2,1,7
20.000 ,0,123,60,1,1,5,6,4,0,2,0,2,0,11,2
14.500 ,0,80,70,1,5,5,3,1,0,2,4,0,2,6,1
10.000 ,0,150,121,2,1,5,7,1,0,2,4,0,1,7,15
6.000 ,0,84,72,0,7,4,6,4,0,2,4,0,1,7,13
21.000 ,0,102,66,1,1,3,11,4,0,3,4,0,1,4,6
10.500 ,0,75,70,1,8,4,2,1,0,2,0,1,0,9,17
8.250 ,0,78,60,1,5,7,4,1,0,2,0,2,0,11,23
23.000 ,0,75,70,1,0,0,8,5,0,2,3,0,1,10,25
66.000 ,3,335,300,5,5,0,1,3,4,2,2,2,0,5,5
10.000 ,0,60,50,0,11,5,6,3,0,2,4,0,1,10,12
19.000 ,0,74,50,0,1,0,4,1,0,1,3,0,1,1,3
38.000 ,3,318,255,4,5,12,2,1,3,2,2,2,0,12,19
15.500 ,0,115,100,1,5,6,2,1,0,2,3,4,2,3,24
28.000 ,0,100,82,1,9,10,10,1,1,2,4,3,1,8,11
25.000 ,0,250,220,4,10,5,1,1,1,2,1,2,0,0,10
10.000 ,0,85,75,1,2,9,7,1,0,3,0,2,0,13,21
55.000 ,3,284,146,3,7,12,0,1,2,2,4,0,1,5,4
50.000 ,0,180,160,2,8,5,4,1,1,3,1,1,0,14,16
32.000 ,0,140,120,1,8,6,3,1,0,3,0,1,0,14,9
